Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23	X24	Y24	Flag24	X25	Y25	Flag25
Tracks 1 to 25																																																																											
20	527.3702	31.483625	 	345.1765	127.81768	 	1190.2529	168.23361	 	1099.5417	164.5849	 	32.998615	203.3421	 	740.9666	261.90295	 	234.45079	363.83508	 	491.64844	448.7099	*	616.31415	528.86615	 	489.77325	523.70886	 	258.9411	584.3346	 	132.53868	621.53436	 	386.86813	657.5196	 	354.36887	709.79395	 	1088.4387	754.2662	 	1324.0828	772.2826	 	1224.2219	797.1133	 	201.76772	823.8779	 	40.22952	830.56635	 	746.52423	857.9422	 	827.1672	918.8386	 	1314.8392	1038.1941	*	79.93535	1034.3477	*	1055.3755	1048.1946	 	1313.2703	1040.1351	*
21	527.31036	31.226437	 	345.29388	127.40674	 	1189.8091	165.43503	 	1099.8396	164.39664	 	32.29348	203.55707	 	740.2407	261.36505	 	234.80353	364.12994	 	492.17975	448.17523	*	617.41833	528.49115	 	490.7948	523.4798	 	259.4526	583.3441	 	132.01936	621.9232	 	386.9714	656.99176	 	354.17438	709.3611	 	1089.219	753.81537	 	1324.0854	773.0022	 	1224.8708	796.67334	 	201.86757	823.14325	 	41.001957	830.51306	 	746.56494	858.3759	 	827.13806	918.423	 	1314.9219	1037.742	*	79.22804	1035.1133	*	1055.4501	1048.1184	 	1313.625	1039.6111	*
22	527.1743	31.535673	 	345.63235	127.96185	 	1189.9366	166.36003	 	1098.7557	164.7165	 	32.015453	202.65819	 	740.1923	261.7079	 	234.10861	363.98047	 	492.1021	448.59076	*	617.54584	528.23914	 	490.73953	523.5823	 	259.30707	582.58575	 	132.1198	621.4125	 	388.1031	656.94586	 	354.4019	708.7352	 	1088.812	754.34576	 	1324.6895	774.0891	 	1224.4435	797.1044	 	202.684	823.0547	 	41.083763	830.8016	 	746.78076	859.0745	 	827.5218	918.39246	 	1314.2842	1036.686	*	78.374825	1034.9011	*	1055.481	1047.3962	 	1312.591	1038.5605	*
23	527.2931	32.37931	 	345.29953	128.13374	 	1189.729	165.289	 	1099.3224	164.77322	 	32.730553	203.19072	 	740.71387	262.33057	 	233.44955	364.07565	 	491.7018	449.47742	*	616.98724	528.3165	 	490.32236	524.49713	 	258.49625	583.29297	 	132.44745	622.0611	 	387.99936	657.57263	 	355.28052	709.5276	 	1088.3744	754.0364	 	1324.9417	774.2761	 	1223.6454	796.9475	 	202.44408	823.3881	 	41.52983	830.34436	 	747.3557	858.85	 	826.60736	918.47205	 	1313.2067	1037.2217	*	78.22254	1034.8555	*	1056.3907	1047.2664	 	1311.4844	1039.25	*
24	526.3785	31.663195	 	345.68387	128.10905	 	1189.4404	166.36615	 	1099.5664	164.46207	 	32.825905	202.95497	 	739.9196	261.63525	 	233.5396	363.60892	 	491.07767	449.05807	*	618.0505	527.0228	 	490.58392	524.0441	 	257.90887	583.2367	 	133.08981	620.8635	 	389.19934	657.40454	 	355.3943	709.39856	 	1088.7916	754.2581	 	1324.9142	773.8008	 	1225.3654	797.57135	 	203.03958	822.8945	 	41.874672	830.42346	 	747.5882	857.5754	 	826.5826	918.2232	 	1312.9009	1036.4576	*	78.478325	1034.63	*	1057.2603	1047.0618	 	1311.4403	1038.5	*
25	525.55896	31.862812	 	345.12973	127.55282	 	1189.5511	166.21161	 	1100.5859	164.47954	 	33.199257	202.90317	 	739.6025	260.9568	 	233.95543	363.15524	 	490.6762	449.4247	*	617.6157	526.10754	 	490.44144	523.81915	 	257.9918	583.4256	 	133.82378	619.639	 	388.55728	657.32684	 	355.7643	709.92145	 	1088.8066	753.6559	 	1324.8588	774.4844	 	1224.81	797.6316	 	203.5411	823.4005	 	40.765015	829.8903	 	746.51587	857.3386	 	826.44434	918.4824	 	1313.3025	1037.0331	*	78.15567	1033.8745	*	1055.1288	1046.64	 	1311.5847	1038.9407	*
26	525.69727	31.535551	 	344.8681	127.85478	 	1189.7161	166.2173	 	1100.9143	165.40056	 	32.600384	201.62619	 	740.2416	262.1888	 	233.89346	362.98862	 	489.89276	449.11932	*	616.31445	526.3187	*	489.40607	523.85693	 	258.54654	582.5352	 	134.10715	619.4886	 	388.54843	656.1257	 	355.6618	710.69385	 	1089.1178	754.98615	 	1325.1511	775.02234	 	1225.1947	796.5829	 	204.19777	822.7641	 	40.932114	829.0823	 	747.4494	857.06647	 	826.5304	919.46674	 	1313.7529	1036.939	*	78.60526	1034.1145	*	1055.4988	1046.5126	 	1311.7157	1038.5785	*
27	526.6216	32.16055	 	345.04544	128.20688	 	1189.997	165.62917	 	1101.3188	166.49298	 	31.588236	201.45197	 	740.94855	262.65967	 	233.7247	363.49805	 	490.14758	449.7756	*	617.2095	526.0284	*	489.79453	524.43536	 	258.59216	582.9028	 	134.1227	619.7823	 	388.14017	657.06586	 	355.98615	710.6737	 	1089.538	755.45953	 	1324.7245	775.0432	 	1224.7385	795.9507	 	204.17914	823.51337	 	39.930447	828.6588	 	747.1763	857.30145	 	826.4565	919.17633	 	1313.4692	1037.7468	*	78.91619	1034.1818	*	1056.0667	1046.819	 	1311.9746	1039.5677	*
28	526.34344	32.11714	 	345.03232	127.48195	 	1190.1704	165.11777	 	1101.6954	167.03494	 	31.802094	202.0683	 	741.37616	262.03046	 	232.50198	363.3708	 	490.5407	449.62518	*	617.3231	527.1662	*	489.5301	524.4241	 	260.22452	583.11383	 	133.58789	620.40204	 	388.2791	657.5503	 	355.8309	710.5087	 	1089.8186	754.20483	 	1325.1691	774.1328	 	1225.322	795.6837	 	204.55148	823.8076	 	40.18052	828.7714	 	747.274	858.16095	 	826.52905	919.07764	 	1313.878	1039.0134	*	78.41185	1035.2659	*	1056.2356	1046.4525	 	1312.3485	1040.7576	*
29	526.7802	31.891861	 	343.83627	126.862625	 	1189.8921	164.14626	 	1102.4768	166.87917	 	32.42925	202.84952	 	741.416	261.92093	 	232.14539	363.77356	 	490.72797	448.29483	*	615.89435	527.7143	*	488.7112	524.6983	 	259.7361	582.01263	 	133.28305	619.5402	 	388.72598	656.9377	 	356.42004	709.5538	 	1090.4307	755.03723	 	1325.9905	772.66895	 	1225.1963	795.6951	 	205.29645	824.1025	 	40.49868	828.20844	 	748.89655	857.2395	 	827.0679	918.9117	 	1313.1395	1038.9296	*	78.21843	1034.6422	*	1055.9653	1046.795	 	1311.8833	1040.6833	*
