Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23
Tracks 1 to 23																																																																					
21	839.87366	103.52927	 	722.42676	150.60951	*	1088.6837	200.11777	 	29.876936	255.8144	 	650.6564	267.65826	 	1362.5546	304.37677	 	926.4805	318.11935	 	153.64488	371.6459	 	403.85526	379.42975	 	603.9686	384.61884	 	988.92206	434.89127	 	462.0411	496.01056	 	358.93954	537.25397	 	761.8787	578.53406	 	901.561	701.64716	 	1235.8032	719.02814	 	635.902	757.99475	 	76.270355	837.2782	 	1213.841	881.1563	 	1317.4905	913.8149	 	730.7682	957.5504	 	825.4405	1026.249	 	1144.0511	1056.2319	 
22	840.7702	102.68373	 	724.7881	150.30905	*	1088.8271	200.22493	 	30.656214	256.25378	 	653.343	265.45953	 	1362.66	304.33713	 	927.6025	318.2376	 	155.32265	369.4016	 	405.43933	378.99377	 	604.53564	384.0272	 	989.42883	434.8661	 	462.58902	495.84085	 	359.09174	536.8787	 	761.89874	579.81104	 	902.2805	700.9194	 	1237.3105	717.9833	 	636.54395	757.05994	 	76.66837	836.99207	 	1214.3451	879.94165	 	1317.7708	913.7546	 	731.3444	957.82306	 	827.4665	1026.0968	 	1146.1104	1055.6682	 
23	839.17096	103.0185	 	721.91846	150.49341	*	1088.0125	200.10478	 	29.105186	256.17435	 	649.5602	266.2842	 	1361.514	304.23978	 	926.47327	318.11816	 	150.95384	370.17883	 	404.07056	379.64334	 	603.95416	383.94748	 	988.1979	435.11267	 	461.44653	496.2099	 	358.9644	536.8915	 	761.1718	580.6774	 	900.2405	701.6506	 	1235.091	717.7166	 	634.51965	758.2454	 	74.87578	836.5951	 	1213.0293	880.4276	 	1317.4623	914.1474	 	730.2297	957.6307	 	825.6046	1026.0853	 	1144.1986	1055.6244	 
24	839.7586	103.341125	 	724.5318	150.60199	*	1088.536	200.41196	 	29.927666	256.42047	 	652.7134	266.9682	 	1363.1051	305.52686	 	927.9357	319.0715	 	155.7154	370.22412	 	404.85153	380.1153	 	604.52356	384.55658	 	989.2698	435.13992	 	462.04636	496.7432	 	359.21524	537.562	 	762.22906	580.6147	 	901.0433	701.41406	 	1236.8596	717.4887	 	636.38416	758.9674	 	75.70643	836.93427	 	1213.7496	881.6098	 	1318.5494	913.3417	 	731.32056	957.92914	 	826.9179	1026.9249	 	1146.1793	1055.8472	 
25	839.18695	103.156235	 	722.769	149.58415	*	1088.1163	199.57518	 	28.500572	256.74182	 	649.4488	265.5071	 	1362.8276	303.82318	 	927.6614	318.88843	 	152.05649	368.76727	 	403.70834	379.67004	 	604.1513	382.93625	 	988.85065	435.80038	 	460.93594	496.09402	 	358.44995	537.0937	 	761.23035	579.4752	 	900.66284	700.55725	 	1234.7572	716.891	 	635.43524	757.7538	 	75.304375	836.62164	 	1213.023	880.3205	 	1318.7433	913.17554	 	730.8097	957.4724	 	825.215	1025.2042	 	1144.604	1055.1573	 
26	840.2632	103.76038	 	724.1512	149.43103	*	1089.0175	200.03197	 	28.433372	256.66025	 	650.6101	267.27695	 	1363.551	303.5706	 	928.4928	319.1417	 	154.46924	371.09738	 	404.27246	380.44144	 	604.1292	383.72205	 	989.3805	436.03098	 	460.97586	496.2887	 	358.65924	537.357	 	760.98224	580.1187	 	901.23956	700.6546	 	1235.0333	718.4465	 	636.0142	758.92035	 	75.14759	837.9635	 	1213.3341	880.1843	 	1319.074	912.75385	 	731.1786	958.4279	 	824.86847	1026.1454	 	1145.1266	1055.3884	 
27	840.86066	103.912224	 	724.6087	149.14085	*	1088.6746	199.41411	 	28.34334	256.47256	 	651.4342	266.41754	 	1363.8442	303.24844	 	927.7061	318.8989	 	155.89845	368.60587	 	404.30145	380.74048	 	604.5607	382.93588	 	989.6821	436.3128	 	461.23288	496.63522	 	358.22968	537.3602	 	761.72314	579.6823	 	901.34735	700.3461	 	1235.4435	718.0961	 	636.85394	758.84406	 	75.514656	837.7565	 	1213.7511	879.8523	 	1319.4739	913.0301	 	730.4328	958.6339	 	824.73114	1026.1055	 	1145.5193	1055.0758	 
28	839.8994	103.947754	 	721.2627	149.24632	*	1087.9098	198.84758	 	27.807825	256.34177	 	647.1016	265.9544	 	1363.6837	302.74295	 	927.14996	319.569	 	151.57216	368.97165	 	403.40347	381.04352	 	603.8991	382.0517	 	989.401	436.12527	 	460.93747	497.0364	 	358.0535	537.2095	 	761.4553	578.4038	 	900.51764	700.6564	 	1234.0557	717.9945	 	635.1069	759.4169	 	73.68637	838.3998	 	1212.8275	879.7747	 	1318.8109	912.8666	 	730.188	957.79236	 	822.65924	1026.9418	 	1144.3073	1054.8169	 
29	840.84235	104.32518	 	725.03784	150.09729	*	1088.6876	198.33408	 	28.77991	257.09818	 	651.3306	266.59085	 	1365.244	303.47232	 	927.8554	319.42145	 	157.1147	368.58603	 	404.23404	381.58063	 	605.17487	382.50394	 	991.3353	436.42667	 	462.29556	496.80612	 	359.83542	537.25745	 	763.1118	579.2321	 	902.2242	701.2424	 	1235.755	718.8129	 	637.2777	760.21826	 	75.41662	839.082	 	1213.5883	879.93384	 	1319.7122	913.76794	 	732.5848	957.7706	 	824.6588	1028.2496	 	1146.0485	1054.9178	 
30	839.50226	104.197136	 	723.98956	149.83055	*	1088.195	197.26222	 	28.080849	256.11926	 	648.27515	264.7019	 	1363.8264	302.8619	 	927.65906	319.1155	 	153.43526	367.39865	 	404.04306	381.54276	 	604.74255	381.4451	 	991.2158	435.45123	 	461.5167	496.73135	 	359.3817	536.06604	 	762.6278	578.54156	 	900.8233	700.586	 	1234.2781	718.0273	 	636.35803	758.9751	 	74.341576	838.3652	 	1212.4911	879.62646	 	1318.883	913.4968	 	731.40826	956.24664	 	822.7414	1027.9268	 	1144.4202	1054.4983	 
