Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17
Tracks 1 to 17
25	745.5179	30.67955	 	1108.4543	199.33005	 	799.54926	217.65419	 	1175.9905	273.66718	 	637.78094	285.41174	 	1320.2285	383.98715	 	1199.9651	447.448	 	973.8567	717.5487	 	741.5677	774.32526	 	645.5446	785.5786	 	838.1701	823.16376	 	174.31566	893.62604	 	668.8308	895.7583	 	44.163715	900.64484	 	1265.0693	938.3536	 	526.59875	973.5335	 	824.3557	1037.8782	 
26	746.0429	30.624063	 	1109.0104	199.25931	 	799.9108	217.26598	 	1176.6011	273.72488	 	638.19476	285.06122	 	1320.1616	383.33023	 	1200.4818	447.20667	 	973.8532	717.5009	 	742.2102	774.4228	 	646.39825	785.4798	 	838.4125	822.6959	 	174.39319	893.0274	 	669.4702	895.5653	 	44.60233	900.022	 	1265.0751	938.08734	 	526.82446	973.473	 	824.30176	1038.1417	 
27	745.24774	30.802643	 	1108.8607	199.66287	 	799.3713	217.6754	 	1175.8229	274.26453	 	637.6519	285.43265	 	1319.4436	383.7439	 	1200.5214	447.62317	 	973.205	718.20624	 	741.8643	774.54846	 	646.0278	785.57733	 	837.89557	823.05414	 	173.70825	893.42694	 	669.0382	895.92346	 	44.407185	900.29694	 	1264.6528	938.3743	 	526.0431	973.7249	 	824.02716	1038.3357	 
28	745.87384	30.741522	 	1108.9677	198.89023	 	799.8664	217.19902	 	1176.6356	274.06335	 	637.9793	285.0442	 	1319.3655	383.47104	 	1201.096	447.5368	 	973.5736	717.8823	 	741.6831	774.5473	 	646.05896	784.9667	 	838.34503	822.77057	 	174.39528	892.5042	 	670.1044	895.4367	 	45.06222	899.8166	 	1265.0232	938.198	 	526.5719	973.0984	 	824.0174	1037.9249	 
29	745.9488	30.70479	 	1109.0042	198.65656	 	799.44617	217.20477	 	1176.939	273.77283	 	637.9966	284.99756	 	1318.8773	383.70563	 	1200.9419	447.73148	 	973.8117	717.4302	 	741.6761	774.8952	 	645.8854	785.19354	 	838.4802	822.6319	 	174.22523	892.6057	 	669.9756	895.8145	 	45.100945	899.769	 	1265.0103	937.98016	 	526.0376	973.4893	 	823.2628	1038.1018	 
30	745.7731	30.871054	 	1108.2811	198.36656	 	798.3502	217.22227	 	1177.1302	273.36563	 	637.65076	285.08264	 	1318.7499	383.96182	 	1200.415	447.7812	 	973.73254	717.7394	 	741.4212	774.9936	 	645.61066	784.9282	 	838.1725	822.6599	 	174.15231	892.97046	 	669.5148	895.9449	 	45.512672	899.8708	 	1264.6492	937.8178	 	525.7813	973.3697	 	823.0773	1038.248	 
31	746.4315	30.709543	 	1108.9236	198.53291	 	798.9614	216.75723	 	1177.5261	273.31372	 	638.15027	284.8461	 	1319.4752	384.0615	 	1200.6482	447.9878	 	974.51794	717.05725	 	742.08435	774.96967	 	645.91626	784.19257	 	838.5996	822.22894	 	174.83617	892.9074	 	670.36957	895.5928	 	46.13824	900.1421	 	1265.1678	937.51385	 	526.4947	972.91095	 	823.4151	1038.1057	 
32	745.7212	30.784233	 	1108.1653	198.97601	 	798.6207	217.28748	 	1176.8754	273.4705	 	637.71747	285.0153	 	1318.8595	384.624	 	1200.2844	448.34155	 	974.42346	717.22235	 	741.9289	775.0315	 	645.6184	784.15765	 	838.8442	822.3874	 	175.01286	893.5188	 	669.6574	895.90155	 	46.17738	900.6708	 	1264.6964	937.87164	 	526.09906	972.81946	 	823.408	1038.3734	 
33	745.73956	30.659698	 	1108.4357	198.73134	 	799.1744	217.33688	 	1177.6599	273.46808	 	638.09375	284.77896	 	1319.4985	384.40408	 	1201.057	448.06073	 	975.0757	716.9097	 	742.3729	774.56274	 	645.9383	783.7697	 	839.3521	822.5583	 	175.53598	893.3328	 	670.4179	896.0483	 	46.496155	900.5739	 	1265.003	938.15454	 	526.6938	972.9897	 	823.29913	1038.2684	 
34	745.77075	30.66196	 	1108.0394	199.07687	 	799.1626	216.9896	 	1177.5101	274.29895	 	638.0789	285.01782	 	1319.4136	384.69028	 	1200.7866	448.24756	 	974.81006	716.9512	 	741.5773	774.55505	 	645.38885	783.95123	 	838.9513	822.645	 	174.97997	893.0146	 	669.9441	896.3345	 	46.46816	900.71436	 	1264.5719	938.57745	 	526.9169	973.4345	 	823.24286	1038.3379	 
35	745.82324	30.619354	 	1108.1005	198.82832	 	798.89124	217.24315	 	1177.2792	274.30795	 	637.90546	285.17676	 	1319.3495	385.0162	 	1201.2623	448.38818	 	975.2039	717.7683	 	741.1101	774.5487	 	645.40717	784.5482	 	838.4875	822.8581	 	175.52057	894.0552	 	669.6088	896.95734	 	46.63793	900.83215	 	1264.7308	938.621	 	526.63416	973.5537	 	822.7694	1038.4526	 
